figure,panel,quantitative_microplots,dataset_ids,displayed_estimate,observational_unit,interval_or_spread,inference_limits
ED07,k,1,sd_dc34de9dd6846b4f8606;sd_b027ff0b75953c55853d,"Finite raw/residual within-experiment rho points. Original arrays include NaN; all box summary coordinates are NaN, so no boxes are actually visible.",72 experiment records per representation. Running has 71 raw/67 residual finite values; pupil has 69 raw/65 residual.,Individual points only; source boxplot summaries are undefined because NaNs were passed unfiltered.,Unequal finite sets are not a paired-complete cohort. Retain data; clarify caption rather than inventing missing values or claiming visible boxes.
ED07,l,1,sd_dc34de9dd6846b4f8606;sd_b027ff0b75953c55853d,"Finite raw/residual within-experiment rho points. Original arrays include NaN; all box summary coordinates are NaN, so no boxes are actually visible.",72 experiment records per representation. Running has 71 raw/67 residual finite values; pupil has 69 raw/65 residual.,Individual points only; source boxplot summaries are undefined because NaNs were passed unfiltered.,Unequal finite sets are not a paired-complete cohort. Retain data; clarify caption rather than inventing missing values or claiming visible boxes.
ED07,m,1,sd_e1d06052542b56dc9250,"Sum archived selected-lag counts over states; 0.25,0.5,1,2 s.",72 experiments.,No confidence interval.,Descriptive source analysis; no model refit or new causal interpretation.
ED07,n,1,sd_68217d3e9fb0286d987c,3 states x 4 lags count matrix.,24 experiments per state.,No confidence interval.,Descriptive source analysis; no model refit or new causal interpretation.
ED07,o,1,sd_0b51fd9ff7f1634034b2,12-bin histogram of new minus old test R-squared; zero and median reference.,72 experiments; negative median retained.,No confidence interval.,Descriptive source analysis; no model refit or new causal interpretation.
ED07,p,1,sd_cf927def2cfe76e7abc1,"Median held-out R-squared versus median residual rho, with descriptive Spearman rho/P.",22 qualifying containers; not all 24 containers.,No confidence interval.,Descriptive source analysis; no model refit or new causal interpretation.
SI02,a,2,sd_15ddf2c8b4c6e183c1cb,"52 NWB inventory entries, 39 unique sessions, 13 duplicate aliases; raw/deduplicated analysis counts in thousands.",Inventory entries versus sessions versus nested analysis rows are distinct counts.,No confidence interval.,Descriptive source analysis; no model refit or new causal interpretation.
SI02,b,1,sd_2f249c50720046cab459,rho by choice/engagement/outcome; NaNs dropped separately in each target group.,Available session-state-target summaries within 39 sessions/10 mice.,"Median/IQR/1.5-IQR whiskers; jittered source observations, no confidence interval.",Descriptive source analysis; no model refit or new causal interpretation.
SI02,c,1,sd_24bcc363b7a76df5145e,test_r2 by selected lag/state; multiplicative x jitter seed 413; pooled median at each lag.,72 experiment fits; not 72 independent mice.,No confidence interval.,Descriptive source analysis; no model refit or new causal interpretation.
SI02,d,3,sd_1ffaca2cff7bc5de089b;sd_1ffaca2cff7bc5de089b;sd_1ffaca2cff7bc5de089b,Choice/outcome/engagement 5x5 symmetric matrices: off-diagonals saved median_rho; diagonal fixed to 1.,"Ten state-pair summaries per target; 39 source sessions for choice/outcome, 38 for engagement. Diagonal is identity, not an independently estimated observation.",No CI; common -1..1 correlation scale.,Descriptive source analysis; no model refit or new causal interpretation.
SI02,e,1,sd_9a2663c9ec2644f884bb,"3x3 symmetric Allen raw contribution matrix from three state-pair median_rho values, diagonal=1.",Available container summaries per state pair; n_containers retained.,No CI; separate -1..1 scale.,Descriptive source analysis; no model refit or new causal interpretation.
SI03,a,1,sd_ba5f152f7c99fc1bc9e5,"Minimum split-half home-state AUC, median and 0.5 reference.","Same 12 OpenScope mice; repeated splits/settings are nested, not independent animals.",No confidence interval.,Descriptive source analysis; no model refit or new causal interpretation.
SI03,b,1,sd_0cd8c342bf046d2a52b3,"Prestimulus PC1 explained variance, median and zero reference.","Same 12 OpenScope mice; repeated splits/settings are nested, not independent animals.",No confidence interval.,Descriptive source analysis; no model refit or new causal interpretation.
SI03,c,1,sd_7bd32be46752ae0296ac,"State-0 trial fraction, median and 0.5 reference.","Same 12 OpenScope mice; repeated splits/settings are nested, not independent animals.",No confidence interval.,Descriptive source analysis; no model refit or new causal interpretation.
SI03,d,3,sd_a1a0cd9ea6d64aa5ed7e;sd_96a573879f01f15caf64;sd_6f7167b3ee6369f4745c,"Units, 1,600 analysis trials, and 960/640 discovery/final trials by mouse.","Same 12 OpenScope mice; repeated splits/settings are nested, not independent animals.",No confidence interval.,Descriptive source analysis; no model refit or new causal interpretation.
SI04,a,1,sd_17d121b5df5225a52caa,Paired rho_within/rho_cross by mouse; median summary.,"Same 12 OpenScope mice; repeated splits/settings are nested, not independent animals.",No confidence interval.,Repeat-averaged descriptive coefficient landscape; matched fixed-split null remains null. Not decoder AUC.
SI04,b,1,sd_4b637ad21ba505910883,Mouse delta_rho with median and zero.,"Same 12 OpenScope mice; repeated splits/settings are nested, not independent animals.",No confidence interval.,Repeat-averaged descriptive coefficient landscape; matched fixed-split null remains null. Not decoder AUC.
SI04,c,1,sd_76aa354807c9d735f998,Paired raw/activity/activity-plus-selectivity delta_rho; medians.,"Same 12 OpenScope mice; repeated splits/settings are nested, not independent animals.",No confidence interval.,Repeat-averaged descriptive coefficient landscape; matched fixed-split null remains null. Not decoder AUC.
SI04,d,2,sd_5b0b9d7bfc24529c2b97;sd_4baff255c4ae88d93db6,Mouse activity-residual and activity-plus-selectivity-residual delta_rho; medians.,"Same 12 OpenScope mice; repeated splits/settings are nested, not independent animals.",No confidence interval.,Repeat-averaged descriptive coefficient landscape; matched fixed-split null remains null. Not decoder AUC.
SI04,e,1,sd_7d97130a07111c5dabc8,Real-edge delta_rho by mouse; median.,"Same 12 OpenScope mice; repeated splits/settings are nested, not independent animals.",No confidence interval.,Repeat-averaged descriptive coefficient landscape; matched fixed-split null remains null. Not decoder AUC.
SI05,a,3,sd_e895d473518631edb7a4;sd_efac6529403f200bcbe3;sd_432a7168cdc4938b0a6c,"Raw delta_rho, rho_within and rho_cross. Average 12 repeats within subject/C, then median over mice; C=0.25,1,4.","Same 12 OpenScope mice; repeated splits/settings are nested, not independent animals.","Individual mouse trajectories and group medians, no CI.",Descriptive source analysis; no model refit or new causal interpretation.
SI05,c,2,sd_e97ab58553a62532979e;sd_ae8b6a9c698ef0151403,"Activity-residual and activity-plus-selectivity-residual delta_rho. Average 12 repeats within subject/C, then median over mice; C=0.25,1,4.","Same 12 OpenScope mice; repeated splits/settings are nested, not independent animals.","Individual mouse trajectories and group medians, no CI.",Descriptive source analysis; no model refit or new causal interpretation.
SI05,b,1,sd_ac4f913658cf71fdf6da,"32-bin histogram of 2,000 matched null values; observed first-row reference; empirical 2.5/97.5-percentile null boundaries.","Fixed-split 12-mouse null, not 2,000 mice.","95% null interval, NOT a confidence interval for the observed effect.",Negative observed landscape difference and non-confirmatory matched test retained.
SI05,d,1,sd_60fe301d1c8ff1891b66,Leave-one-mouse-out mean delta_rho; horizontal median across the 12 exclusions.,"Same 12 OpenScope mice; repeated splits/settings are nested, not independent animals.",No CI; exclusions strongly overlap.,Descriptive source analysis; no model refit or new causal interpretation.
SI05,e,1,sd_4e97a9bc607b9df965d6,Within-mouse SD of delta_rho across repeats at C=1; horizontal median of SDs.,"Same 12 OpenScope mice; repeated splits/settings are nested, not independent animals.","Sample SD (ddof=1), NOT a standard error or CI.",Descriptive source analysis; no model refit or new causal interpretation.
SI06,a,2,sd_b6029ee4b910986d842e;sd_7ad94da34b056c7d258d,"Paired top-unit home/cross AUC, their mouse differences and median summaries.","Same 12 OpenScope mice; repeated splits/settings are nested, not independent animals.",No confidence interval.,Descriptive source analysis; no model refit or new causal interpretation.
SI06,b,1,sd_1d3af5b97a978e8c96df,Actual source effect is leave-one-mouse-out MEAN TOP-UNIT AUC CROSSOVER; inherited axis incorrectly says delta-Jaccard.,"Same 12 OpenScope mice; repeated splits/settings are nested, not independent animals.",No CI; median across 12 exclusion means.,"Confirmed label defect: all 12 values reproduce AUC leave-one-out means, not Jaccard. Correct axis/caption only; preserve numbers and source identity."
SI06,c,2,sd_7bcf1eee3423eb393347;sd_77e0500fa84a7cd54a31,"Average 12 repeats within subject/top_fraction, then median across mice; AUC and balanced-accuracy crossover, fractions 0.05,0.1,0.2,0.4.","Same 12 OpenScope mice; repeated splits/settings are nested, not independent animals.",Mouse trajectories and group medians; no CI.,Descriptive source analysis; no model refit or new causal interpretation.
SI06,d,1,sd_fb30b4480e6beb3fe1f3,"Mean over 12 repeats within subject/C, then group median of delta_jaccard; C=0.25,1,4.","Same 12 OpenScope mice; repeated splits/settings are nested, not independent animals.","Mouse trajectories and group medians, no CI.",Descriptive source analysis; no model refit or new causal interpretation.
SI06,e,2,sd_239fc387cbb7a176a17c;sd_46072a84dac4bb5959ff,"Paired within/cross Jaccard, mouse delta_jaccard and median summaries.","Same 12 OpenScope mice; repeated splits/settings are nested, not independent animals.",No confidence interval.,Descriptive source analysis; no model refit or new causal interpretation.
SI06,f,1,sd_0b6095f94b16d070ced8,"32-bin histogram of 2,000 fixed-split Jaccard nulls, observed line and 2.5/97.5-percentile boundaries.",Same 12 mice; null draws are not biological replicates.,"95% null boundaries, not an effect CI.",Matched null is not replaced by positive repeated-split estimates.
