figure,panel,quantitative_microplots,dataset_ids,displayed_estimate,observational_unit,interval_or_spread,inference_limits
Fig04,c,1,sd_ad2bb833fdee3a392638,Mean sampled D over three states within graph and budget; graph points/connecting lines and equal-graph means.,"Three closure graphs, three states, three budgets; nested observations, not new graphs.","Three graph points per budget; mean diamonds only, no CI.",State averaging precedes graph comparison; exact two-sided sign-flip comparison k8 versus k64 has P0.25.
Fig04,d,1,sd_0e29506451e5ca61f58d,union_expansion distributions by k8/32/64.,"Three closure graphs, three states, three budgets; nested observations, not new graphs.","Nine graph-state observations per budget; median/IQR boxes,1.5-IQR whiskers; all observed points overlaid, separate boxplot outlier symbols omitted.","Boxes describe nested condition distributions, not a graph-bootstrap CI."
Fig04,e,1,sd_04042b6c2ceba43c6a58,core_fraction distributions by k8/32/64.,"Three closure graphs, three states, three budgets; nested observations, not new graphs.","Nine graph-state observations per budget; median/IQR boxes,1.5-IQR whiskers; all observed points overlaid, separate boxplot outlier symbols omitted.","Boxes describe nested condition distributions, not a graph-bootstrap CI."
Fig04,f,1,sd_458df1f448b2870137d9,selection_entropy_union by k8/32/64.,"Three closure graphs, three states, three budgets; nested observations, not new graphs.","Nine graph-state observations per budget; median/IQR and1.5-IQR whiskers, all points overlaid.","Entropy is for the sampled union, not a complete-space entropy estimate."
Fig04,g,1,sd_52fdc8500a07826d79e6,Fresh versus independent-noise D; Spearman rho across27 nested condition rows.,"Three closure graphs, three states, three budgets; nested observations, not new graphs.",No CI. Assembler explicitly removes the helper nominal pooled P annotation.,Independent evaluation noise is not an independent graph cohort; displayed correlation is descriptive.
Fig04,h,1,sd_8807141fbfd50009bf91;sd_f4f3a571f4abde360ac3,"D_g=min(V_specialized_mid,V_specialized_sparse)-min(V_shared_mid,V_shared_sparse).","12 reused robustness graphs, each256nodes and32mechanism-rich units; final noise averaged before minimum.","Mean and frozen10,000-resample graph-bootstrap CI; exact two-sided P0.083984375.",Bootstrap CI and exact sign-flip test differ; frozen primary test does not confirm specialist advantage.
Fig04,i,1,sd_b8f457b5267e3545f831;sd_f4f3a571f4abde360ac3,Shared-minus-equal-budget-random gain_mid/gain_sparse/gain_maximin.,Same12 reused graphs.,"Mean and frozen10,000-resample graph-bootstrap CIs.",A separate control from specialist-versus-shared sufficiency; no P annotation here.
Fig04,j,1,sd_8807141fbfd50009bf91,"d_mid versus d_sparse, where each is specialist minus shared state score.",Same12 graphs.,No CI; one point per graph.,"Quadrants are descriptive, not separate significance tests."
Fig04,k,1,sd_f4f3a571f4abde360ac3,State mean losses and frozen normal-approximation upper bounds versus epsilon0.02.,Same12 graphs.,"Mean plus one upper-bound segment; z1.959963984540054, not a symmetric bootstrap CI.","Both upper bounds exceed epsilon; sufficiency unestablished, not disproved; no exact small-n coverage claim."
Fig04,l,1,sd_0f2d2f7e53593c8c9573;sd_62025e1a4762177f5bc6,"Uniform mean shared-minus-random across15 coupling/noise conditions within each graph, then equal-graph mean.",Same12 reused graphs;15 grid points are not15 additional replicates.,"Frozen10,000-resample graph-bootstrap CI; grid-aggregate exact two-sided test retained in manuscript.","No reselection, no empirical environmental weights, no unseen-graph generalization."
Fig04,m,1,sd_5763e99ce9128e60b0fe,"Pivot mean on noise_sigma rows descending and coupling columns;3x5 grid, color range0..0.2.",15 condition means over the same12 graphs.,"No uncertainty shown; source includes pointwise intervals, not simultaneous coverage.","A descriptive local grid, not a phase diagram or cell-wise significance claim."
Fig04,n,1,sd_758b5dee0e5e590791cb;sd_f4f3a571f4abde360ac3,Shared-mid and shared-sparse Jaccard similarity with graph pairing.,"Same12 graphs, each mask cardinality32.","Frozen10,000-resample graph-bootstrap CI and mean.",Absolute-overlap zero-null tests intentionally absent; masks of different graph cohorts are not directly compared.
Fig04,o,1,sd_0c3c24ff682f0e20de5c,3x3 archived mean-D heatmap by state and k8/32/64;0..1 scale.,"Three closure graphs, three states, three budgets; nested observations, not new graphs.",No CI; values averaged over three graphs.,"Sampled near-optimal diversity, not complete solution-space volume."
