figure,panel,quantitative_microplots,dataset_ids,displayed_estimate,observational_unit,interval_or_spread,inference_limits
ED02,k,1,sd_32793edd4a120e6f5502,Synchrony means by four fractions.,"Four runs at each homogeneous endpoint, 12 at each intermediate fraction.","Saved mean ± ci95; ci95=1.96 sample SEM=1.96 sample SD/sqrt(n), not bootstrap or calibrated small-sample t coverage.",Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
ED02,l,1,sd_9c4e9f0788b913ed54fe,Positive-emergence fraction for each topology family.,"2,184 archived simulations per topology family.",Fraction only; no CI.,Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
ED03,a,1,sd_db6513feb18f8244a58c;sd_f22bc19a40798d86b475,Five phases × six comparator mean gains.,"225 archived conditions across reused graphs; phases contain 27/72/36/36/54 conditions, not new independent graph draws.",No interval in matrix.,Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
ED03,b,1,sd_7748ba57319756627557,Two-hop coverage versus spectral-relative gain; color selected dispersion; pooled Spearman association.,"225 archived conditions across reused graphs; phases contain 27/72/36/36/54 conditions, not new independent graph draws.",No CI; correlation descriptive.,Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
ED03,c,1,sd_f22bc19a40798d86b475,er_patch dynamics-aware minus spectral score by state/budget fraction.,"225 archived conditions across reused graphs; phases contain 27/72/36/36/54 conditions, not new independent graph draws.",Mean ±1.96 SEM across condition-level gains at each point; undefined SEM replaced with zero by original helper. Not graph-bootstrap.,Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
ED03,d,1,sd_f22bc19a40798d86b475,stage4b_replication dynamics-aware minus spectral score by state/budget fraction.,"225 archived conditions across reused graphs; phases contain 27/72/36/36/54 conditions, not new independent graph draws.",Mean ±1.96 SEM across condition-level gains at each point; undefined SEM replaced with zero by original helper. Not graph-bootstrap.,Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
ED03,e,1,sd_f22bc19a40798d86b475,stage4c_atlas_extension dynamics-aware minus spectral score by state/budget fraction.,"225 archived conditions across reused graphs; phases contain 27/72/36/36/54 conditions, not new independent graph draws.",Mean ±1.96 SEM across condition-level gains at each point; undefined SEM replaced with zero by original helper. Not graph-bootstrap.,Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
ED03,f,1,sd_f22bc19a40798d86b475,stage4d_scaling dynamics-aware minus spectral score by state/budget fraction.,"225 archived conditions across reused graphs; phases contain 27/72/36/36/54 conditions, not new independent graph draws.",Mean ±1.96 SEM across condition-level gains at each point; undefined SEM replaced with zero by original helper. Not graph-bootstrap.,Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
ED03,g,1,sd_f22bc19a40798d86b475,stage4e_topology dynamics-aware minus spectral score by state/budget fraction.,"225 archived conditions across reused graphs; phases contain 27/72/36/36/54 conditions, not new independent graph draws.",Mean ±1.96 SEM across condition-level gains at each point; undefined SEM replaced with zero by original helper. Not graph-bootstrap.,Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
ED03,h,1,sd_db6513feb18f8244a58c,Five phase-level mean gains over spectral and archived counts.,"225 archived conditions across reused graphs; phases contain 27/72/36/36/54 conditions, not new independent graph draws.","Saved condition-bootstrap95_low/high; mean/count verified here, original bootstrap endpoints source-bound but not regenerated in this audit.",Runs/conditions reuse graphs and settings; not independent realized-graph interventions across every rule; no measured hardware efficiency or universal search superiority.
ED03,i,1,sd_42a8268ad01d7f982db1,Paired primary versus equal-budget random held-out home score averaged over states.,"12 inference graphs 93001–93012; repeat0 only, two states nested within graph.","Paired points, no CI; i original exact one-sided sign-flip test.","Equal-budget control and imprecise variants retained; these are reused graph cohorts, not independent confirmations or universal procedure superiority."
ED03,j,1,sd_2577bf5e4ec7bbcf3372,Paired primary versus equal-budget random crossover.,"12 inference graphs 93001–93012; repeat0 only, two states nested within graph.","Paired points, no CI; i original exact one-sided sign-flip test.","Equal-budget control and imprecise variants retained; these are reused graph cohorts, not independent confirmations or universal procedure superiority."
ED03,k,1,sd_9a00c5a543586f7b5b62;sd_7ada3091abd728801a55,Four variant crossover means evaluated using rhythm score.,"12 inference graphs 93001–93012; repeat0 only, two states nested within graph.","20,000 graph-percentile bootstrap draws, seeds20260829+i; original exact one-sided sign-flip tests; all eight means/CI/P replayed.","Equal-budget control and imprecise variants retained; these are reused graph cohorts, not independent confirmations or universal procedure superiority."
ED03,l,1,sd_5296af3c5f204aef2cf5;sd_7ada3091abd728801a55,Four variant crossover means evaluated using alternative score.,"12 inference graphs 93001–93012; repeat0 only, two states nested within graph.","20,000 graph-percentile bootstrap draws, seeds20260829+i; original exact one-sided sign-flip tests; all eight means/CI/P replayed.","Equal-budget control and imprecise variants retained; these are reused graph cohorts, not independent confirmations or universal procedure superiority."
ED03,m,1,sd_dedcad7317b8dec208d7,Home versus foreign rhythm scores averaged within variant/graph.,"12 inference graphs 93001–93012; repeat0 only, two states nested within graph.",No interval.,"Equal-budget control and imprecise variants retained; these are reused graph cohorts, not independent confirmations or universal procedure superiority."
ED03,n,1,sd_ae552d746be7901a1dac,Search score versus held-out state-specific home score for all96winners.,"12 inference graphs 93001–93012; repeat0 only, two states nested within graph.",No interval.,"Equal-budget control and imprecise variants retained; these are reused graph cohorts, not independent confirmations or universal procedure superiority."
ED04,a,1,sd_f5bdb2066253211e4ed7,Graph trajectories and state/budget count means.,Three closure graphs42001–42003 ×three states ×three budgets;27nested conditions.,"Mean ±1.96 sample SEM over three graphs, descriptive normal bands, not bootstrap.","Four search winners per graph-state-budget condition; sampled geometry is not exhaustive solution volume; metrics are mathematically related, not independent endpoints."
ED04,b,1,sd_f5bdb2066253211e4ed7,Mean count in3×3state/budget matrix; fixed1–4scale.,Three closure graphs42001–42003 ×three states ×three budgets;27nested conditions.,No interval.,"Four search winners per graph-state-budget condition; sampled geometry is not exhaustive solution volume; metrics are mathematically related, not independent endpoints."
ED04,c,1,sd_f5bdb2066253211e4ed7,"Each count minus its state/budget three-graph mean,9×3matrix.",Three closure graphs42001–42003 ×three states ×three budgets;27nested conditions.,No interval.,"Four search winners per graph-state-budget condition; sampled geometry is not exhaustive solution volume; metrics are mathematically related, not independent endpoints."
ED04,d,1,sd_f5bdb2066253211e4ed7;sd_ad2bb833fdee3a392638,"Jaccard diversity versus count, graph-jittered x; conditional mean line; pooled Spearman rho.",Three closure graphs42001–42003 ×three states ×three budgets;27nested conditions.,No CI or inferential P; computed SEM not plotted.,"Four search winners per graph-state-budget condition; sampled geometry is not exhaustive solution volume; metrics are mathematically related, not independent endpoints."
ED04,e,1,sd_f5bdb2066253211e4ed7;sd_0e29506451e5ca61f58d,"Union expansion versus count, graph-jittered x; conditional mean line; pooled Spearman rho.",Three closure graphs42001–42003 ×three states ×three budgets;27nested conditions.,No CI or inferential P; computed SEM not plotted.,"Four search winners per graph-state-budget condition; sampled geometry is not exhaustive solution volume; metrics are mathematically related, not independent endpoints."
ED04,f,1,sd_f5bdb2066253211e4ed7;sd_04042b6c2ceba43c6a58,"Shared-core fraction versus count, graph-jittered x; conditional mean line; pooled Spearman rho.",Three closure graphs42001–42003 ×three states ×three budgets;27nested conditions.,No CI or inferential P; computed SEM not plotted.,"Four search winners per graph-state-budget condition; sampled geometry is not exhaustive solution volume; metrics are mathematically related, not independent endpoints."
ED04,h,1,sd_f5bdb2066253211e4ed7;sd_458df1f448b2870137d9,"Selection entropy versus count, graph-jittered x; conditional mean line; pooled Spearman rho.",Three closure graphs42001–42003 ×three states ×three budgets;27nested conditions.,No CI or inferential P; computed SEM not plotted.,"Four search winners per graph-state-budget condition; sampled geometry is not exhaustive solution volume; metrics are mathematically related, not independent endpoints."
ED04,g,1,sd_f5bdb2066253211e4ed7;sd_ad2bb833fdee3a392638;sd_0e29506451e5ca61f58d;sd_04042b6c2ceba43c6a58;sd_458df1f448b2870137d9,5×5Spearman matrix using exact-key one-to-one merged27rows.,Three closure graphs42001–42003 ×three states ×three budgets;27nested conditions.,Descriptive correlations only.,"Four search winners per graph-state-budget condition; sampled geometry is not exhaustive solution volume; metrics are mathematically related, not independent endpoints."
ED04,i,1,sd_f0edc9327a7c8b222feb,"Mean sampled diversity at three local epsilon values per budget, nine archived means.",Three closure graphs42001–42003 ×three states ×three budgets;27nested conditions.,"Lines and points, no interval.","Four search winners per graph-state-budget condition; sampled geometry is not exhaustive solution volume; metrics are mathematically related, not independent endpoints."
ED04,j,1,sd_ee8d0f72d8dc956e7df4,Search-best score minus first-search score; six trajectories and mean.,Three inference graphs93001–93003 ×two states ×20search repeats/depths; states/repeats/pairs are not independent graphs.,No interval.,"Finite-depth description, not asymptotic saturation or proof of a unique mechanism; held-out values need not improve with search depth."
ED04,k,1,sd_ee8d0f72d8dc956e7df4,Held-out score of search winner minus first-search value; six trajectories and mean.,Three inference graphs93001–93003 ×two states ×20search repeats/depths; states/repeats/pairs are not independent graphs.,No interval.,"Finite-depth description, not asymptotic saturation or proof of a unique mechanism; held-out values need not improve with search depth."
ED04,l,1,sd_e142ad22d4405ea15bd0,"Six graph-state gains from10to20searches, paired search/held-out endpoints, diamonds are means.",Three inference graphs93001–93003 ×two states ×20search repeats/depths; states/repeats/pairs are not independent graphs.,No interval.,"Finite-depth description, not asymptotic saturation or proof of a unique mechanism; held-out values need not improve with search depth."
ED04,m,1,sd_fd0f1188554b88270c8c,"20repeat-level crossovers per graph, diamonds are three graph means.",Three inference graphs93001–93003 ×two states ×20search repeats/depths; states/repeats/pairs are not independent graphs.,No interval.,"Finite-depth description, not asymptotic saturation or proof of a unique mechanism; held-out values need not improve with search depth."
ED04,n,1,sd_0d510cfbd55ffbde7aef,"120search versus held-out home-score pairs, colored by state.",Three inference graphs93001–93003 ×two states ×20search repeats/depths; states/repeats/pairs are not independent graphs.,No interval.,"Finite-depth description, not asymptotic saturation or proof of a unique mechanism; held-out values need not improve with search depth."
ED04,o,1,sd_b78f82db1ffc4da38960,"190pairwise Jaccards per graph-state,1,140nested pairs total; outlier symbols omitted.",Three inference graphs93001–93003 ×two states ×20search repeats/depths; states/repeats/pairs are not independent graphs.,"Median,IQR,1.5-IQR whiskers, not effect CI.","Finite-depth description, not asymptotic saturation or proof of a unique mechanism; held-out values need not improve with search depth."
