new_figure,new_panel,row,column_start,column_span,quant_microplots,source_id,component,topic,work,scientific_recomputation_required
SI03,b,1,2,1,1,SI05b,complete,主成分解释量,reflow_or_combine_existing_plots,False
SI03,c,1,3,1,1,SI05c,complete,状态比例,reflow_or_combine_existing_plots,False
SI03,d,2,1,3,3,SI05d,complete,单元数试次数及发现最终分割,reflow_or_combine_existing_plots,False
SI04,a,1,1,1,1,SI06a,complete,组内与跨状态系数相关,reflow_or_combine_existing_plots,False
SI04,b,1,2,1,1,SI06b,complete,逐鼠landscape差,reflow_or_combine_existing_plots,False
SI04,c,1,3,1,1,SI06c,complete,残差定义对照,reflow_or_combine_existing_plots,False
SI04,d,2,1,2,2,SI06d,complete,活动及选择性残差,reflow_or_combine_existing_plots,False
SI04,e,2,3,1,1,SI06e,complete,真实边缘landscape,reflow_or_combine_existing_plots,False
SI05,a,1,1,3,3,SI07a,complete,原始正则化敏感性,reflow_or_combine_existing_plots,False
SI05,b,1,4,1,1,SI07b,complete,高精度匹配置换,reflow_or_combine_existing_plots,False
SI05,c,2,1,2,2,SI07c,complete,残差正则化敏感性,reflow_or_combine_existing_plots,False
SI05,d,2,3,1,1,SI07d,complete,逐鼠留一,reflow_or_combine_existing_plots,False
SI05,e,2,4,1,1,SI07e,complete,重复分割精度,reflow_or_combine_existing_plots,False
SI06,a,1,1,2,2,SI08a,complete,Top-set读出及逐鼠效应,reflow_or_combine_existing_plots,False
SI06,b,1,3,1,1,SI08f,complete,Top-set逐鼠留一,reflow_or_combine_existing_plots,False
SI06,c,2,1,2,2,SI08b,complete,单元预算敏感性,reflow_or_combine_existing_plots,False
SI06,d,2,3,1,1,SI08d,complete,重叠正则化敏感性,reflow_or_combine_existing_plots,False
SI06,e,3,1,2,2,SI08c,complete,集合重叠及逐鼠差,reflow_or_combine_existing_plots,False
SI06,f,3,3,1,1,SI08e,complete,集合高精度置换,reflow_or_combine_existing_plots,False
